iter	Passed	Remaining
0	1	129
1	3	157
2	5	172
3	6	163
4	9	173
5	10	165
6	11	154
7	12	145
8	13	138
9	14	132
10	15	128
11	17	129
12	19	130
13	21	130
14	22	128
15	24	127
16	25	124
17	26	121
18	27	117
19	28	114
20	29	111
21	30	108
22	32	107
23	33	106
24	36	108
25	37	107
26	39	106
27	40	105
28	41	102
29	43	100
30	44	98
31	45	95
32	46	94
33	47	93
34	49	92
35	51	91
36	53	90
37	54	89
38	55	87
39	57	85
40	58	83
41	58	80
42	59	78
43	60	77
44	61	75
45	63	74
46	65	74
47	67	73
48	69	72
49	70	70
50	71	68
51	72	67
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	80	58
58	82	57
59	84	56
60	85	54
61	86	53
62	87	51
63	88	49
64	89	48
65	91	46
66	92	45
67	94	44
68	96	43
69	98	42
70	99	40
71	101	39
72	102	37
73	103	36
74	104	34
75	105	33
76	107	32
77	109	30
78	111	29
79	112	28
80	114	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	122	16
88	124	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	133	7
95	134	5
96	135	4
97	136	2
98	137	1
99	138	0
